Qty,Value,Device,Parts,Library,Description,DIGIKEY,MANUFACTURER,MOUSER,MPN,NEWARK,PROD_ID,RICHARDSON_RFPD,VALUE
5,100uF,1210_CAP_POLARIZED,"C16, C17, C18, C19, C20",Gecko,,?478-3130-1-ND?,,,?TCJB107M006R0070?,,,,
1,BAL-NRF01D3,BAL-NRF01D3,B1,chips,"50 ohm nominal input / conjugate match balun to nRF51422-QFAA,",497-13637-1-ND,STMicroelectronics,511-BAL-NRF01D3,BAL-NRF01D3,,,,
1,10uF,CAP,C13,Gecko,,445-6853-1-ND,,,C1608X5R1A106M080AC?,,,,
1,4.7uF,CAP,C15,Gecko,,1276-2087-1-ND,,,CL10B475KQ8NQNC,,,,
2,0.1uF,CAPACITOR0402_CAP,"C9, C11",passives,SMD Capacitor,399-7332-1-ND?,,,C0402C104M4VACTU?,,,,
1,1.5pF,CAPACITOR0402_CAP,C1,passives,SMD Capacitor,399-1002-1-ND?,,,?C0402C159C5GACTU?,,,,
1,10nF,CAPACITOR0402_CAP,C10,passives,SMD Capacitor,?720-1362-1-ND,,,VJ0402Y103KXXAC?,,,,
2,12pF,CAPACITOR0402_CAP,"C2, C3",passives,SMD Capacitor,?399-1013-1-ND?,,,C0402C120J5GACTU?,,,,
2,1nF,CAPACITOR0402_CAP,"C4, C5",passives,SMD Capacitor,?311-1036-1-ND?,,,CC0402KRX7R9BB102?,,,,
1,1uF,CAPACITOR0402_CAP,C12,passives,SMD Capacitor,445-13185-1-ND,,,CGB2A1X5R1E105K033BC,,,,
1,2.2nF,CAPACITOR0402_CAP,C6,passives,SMD Capacitor,?490-5419-1-ND?,,,?GRM155R71E222KA01D?,,,,
1,4.7uF,CAPACITOR0402_CAP,C14,passives,SMD Capacitor,445-5947-1-ND?,,,?C1005X5R0J475K050BC?,,,,
1,47nF,CAPACITOR0402_CAP,C8,passives,SMD Capacitor,?445-1264-1-ND?,,,?C1005X7R1C473K050BC?,,,,
1,,CONN_02,J2,SparkFun-Retired,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections,732-5315-ND,,,61300211121,,,,
1,FM25LBTDFN-8,FM25LBTDFN-8,U4,chips,IC FRAM 4KBIT 10MHZ 8SOIC,FM25L04B-DGRA-ND,, 877-FM25L04B-DG ,FM25L04B-DG?,,,,
1,FRACTUS-2.4GHZ-FR05-S1-N-0-110,FRACTUS-2.4GHZ-FR05-S1-N-0-110,A1,chips,Fractus Micro Reach Xtend,,,,FR05-S1-N-0-110BULK,,,FR05-S1-N-0110B,
1,15nH,INDUCTOR0402,L2,passives,A very specific inductor,587-1521-1-ND,,,HK100515NJ-T?,,,,
1,6.8nH,INDUCTOR0402,L4,passives,A very specific inductor,587-1515-1-ND,,,?HK10056N8J-T?,,,,
1,10uH,INDUCTOR0603,L1,passives,A very specific inductor,490-4025-1-ND,,,CK1608100M-T?,,,,
1,4.7uH,L-US,L3,Gecko,,,,994-EPL3012-472MLB,EPL3012-472MLB,,,,
1,BLUE,LED-BLUE0603,D1,SparkFun-LED,Blue SMD LED,160-1837-1-ND,,,LTST-C194TBKT,,DIO-08575,,BLUE
1,MCP1640T,MCP1640,U7,Gecko,,MCP1640T-I/CHYDKR-ND?,,,MCP1640T-I/CHY?,,,,
1,MN1382S 2.0V,MN1382S,U5,umich,,,,,TC54VC2102ECB713,,,,
1,TC54VC 2.9V,MN1382S,U6,umich,,?TC54VC2902ECB71DKR-ND?,,,TC54VC2902ECB713?,,,,
1,NRF51822QF,NRF51822QF,U1,chips,Multiprotocol Bluetooth® 4.0 low energy/2.4 GHz RF SoC,1490-1042-1-ND,Nordic Semi,949-NRF51822-QFAC-R7,NRF51822-QFAC-R7 ,,,,
1,,PINHD-1X5,JP1,pinhead,PIN HEADER,732-5318-ND,,,61300511121,,,,
1,,PMOSSOT23,Q1,berkeley-epic,MOS FET,,,,SI2305CDS-T1-GE3,55R1909,,,
4,100K,RESISTOR,"R11, R13, R15, R21",Gecko,,?P100KHCT-ND?,,,?ERJ-3EKF1003V?,,,,
1,100K (DNP),RESISTOR,R14,Gecko,,?P100KHCT-ND?,,,?ERJ-3EKF1003V?,,,,
3,1K,RESISTOR,"R12, R23, R24",Gecko,,?A106049CT-ND?,,,?CRG0603F1K0?,,,,
3,470K,RESISTOR,"R19, R20, R22",Gecko,,?1276-4902-1-ND?,,,?RC1608F474CS?,,,,
1,649K,RESISTOR,R17,Gecko,,541-649KHCT-ND?,,,?CRCW0603649KFKEA?,,,,
1,976K,RESISTOR,R16,Gecko,,541-976KHCT-ND,,,CRCW0603976KFKEA,,,,
2,10k,RESISTOR0402_RES,"R3, R9",passives,Resistor,RHM10KCECT-ND,,,?ERJ-2GEJ103X?,,,,
1,12k,RESISTOR0402_RES,R8,passives,Resistor,RHM12.0KCDCT-ND,,,?RC0402FR-0712KL?,,,,
2,4.7k,RESISTOR0402_RES,"R4, R10",passives,Resistor,RHM4.7KCECT-ND,,,?ERJ-2GEJ472X?,,,,
1,470,RESISTOR0402_RES,R1,passives,Resistor,RHM470CECT-ND,,,ERA-2AED471X,,,,
1,RV-3049-C3,RV-3049-C3,U2,chips,The RV-3049-C3 is an ultra miniature Real-Time-Clock Module,,,,RV-3049-C3-32.768kHz-OPTION-A-TA-QC,RV-3049-C3,,,
4,SH7010TA,SH7010TA,"SW1, SW2, SW3, SW4",sh7010TA,,563-1207-2-ND,,,?SH-7010TA?,,,,
1,TC2030-JLINK-NL,TC2030-JLINK-NL,J1,connector,,,,,TC2030-MCP-NL,,,,
1,16MHz,TXC-8Y,X1,crystals,2mmx1.6mm SMD Crystal,887-2003-1-ND,,,?8Y-16.000MAAV-T?,,,,
2,US6M11TR,US6M11TR,"Q2, Q3",DUALMOS,,US6M11CT-ND,,,?US6M11TR?,,,,
1,,Solar Cell,,,,869-1000-ND,,,AM-1417CA,,,,
